Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)
  Ruben Dario 100, Miguel Hidalgo, Distrito Federal (cdmx)|60000|3|2.0|200
  Av. Popocatépetl 000, Xoco, Benito Juárez, Distrito Federal (cdmx)|20000|2|2.0|100
  Av. El Bordo 85 Col Ex Hacienda Tlalpan, Tlalpan, Distrito Federal (cdmx)|18000|2|2.0|88
  Nicolas San Juan 279, Del Valle Centro, Benito Juárez, Distrito Federal (cdmx)|19500|2|2.0|112
  Jesus Del Monte 34, Jesús Del Monte, Cuajimalpa De Morelos|17500|1|1.0|50
  Guanajuato 44, Roma Norte, Cuauhtémoc, Distrito Federal (cdmx)|23000|2|2.0|70
  Mar Adriático 100, Popotla, Miguel Hidalgo, Distrito Federal (cdmx)|25000|2|2.0|130
  Av. Ejercito Nacional 769 Esquina Moliere, Granada, Miguel Hidalgo, Distrito Federal (cdmx)|30000|2|2.0|105
  Aguascalientes 185, 5, Colonia Condesa, Cuauhtémoc, Distrito Federal (cdmx)|25000|2|2.0|100
  Encarnación Ortiz 1860, Azcapotzalco, Distrito Federal (cdmx)|18000|3|2.0|80
  R.salido 166, Independencia, Benito Juárez, Distrito Federal (cdmx)|13950|2|2.0|75
  Cleveland 6, Ciudad De Los Deportes, Benito Juárez, Distrito Federal (cdmx)|2800000|2|2.0|84
  Amsterdam 1, Colonia Condesa, Cuauhtémoc, Distrito Federal (cdmx)|38810|2|2.0|140
  Ph En Renta Amueblado De 2 Nivles Y Roof Garden En Bosques De Las Lomas, Bosques De Las Lomas, Cuajimalpa De Morelos|950845|3|3.0|380
  Lago Neuchatel 12, Ampliación Granada, Miguel Hidalgo, Distrito Federal (cdmx)|29000|2|3.0|126
  Lago Alberto 320, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|36000|3|2.0|150
  Guanajuato 66, Roma Norte, Cuauhtémoc, Distrito Federal (cdmx)|22000|2|2.0|119
  Atenas 3, Lomas De Padierna, Tlalpan, Distrito Federal (cdmx)|2600|1|1.0|22
  Prolongación Paseo De La Reforma 260, Santa Fe Cuajimalpa, Cuajimalpa De Morelos|24000|3|2.0|100
  Bahía De Santa Barbara 0, 3, Veronica Anzures, Miguel Hidalgo, Distrito Federal (cdmx)|22000|2|2.0|93
  Avenida De Los Poetas 100, Colonia Cuajimalpa, Cuajimalpa De Morelos|49000|3|4.0|318
  General Mariano Escobedo 248, Miguel Hidalgo, Distrito Federal (cdmx)|25500|2|2.0|94
  Prol. Paseo De La Reforma 1, Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)|22000|2|2.0|65
  Adolfo Prieto 1033, Del Valle, Benito Juárez, Distrito Federal (cdmx)|34000|2|3.0|116
  Textitlán 42, Santa Ursula Coapa, Coyoacán, Distrito Federal (cdmx)|8000|2|1.0|60
