Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)
Departamento en Renta Fernando Alencastre 240, Lomas De Chapultepec Iv Sección, Miguel Hidalgo, Distrito Federal (cdmx)|23,000 MX$|2|2|130m2
"Departamento en Renta Cumbres De Acultzingo #67, 108
, Narvarte, Benito Juárez, Distrito Federal (cdmx)"|9,500 MX$|2|1|70m2
Departamento en Renta Vértiz 983, Col. Vértiz Narvarte, Benito Juárez, Distrito Federal (cdmx)|18,500 MX$|2|2|108m2
Departamento en Renta Ave De Las Torres 805, Colonia Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)|18,500 MX$|2|2|104m2
"Departamento en Renta Pico De Verapaz #4
, Jardines En La Montaña, Tlalpan, Distrito Federal (cdmx)"|65,000 MX$|3|4|400m2
"Departamento en Renta Sierra Gorda #23
, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)"|155,240 MX$|4|4|400m2
"Departamento en Renta Avenida Mexico Coyoacan #371
, Xoco, Benito Juárez, Distrito Federal (cdmx)"|22,000 MX$|2|2|80m2
"Departamento en Renta Bosque De Radiatas #14, 2b
, Bosques De Las Lomas, Miguel Hidalgo, Distrito Federal (cdmx)"|38,000 MX$|3|4|312m2
"Departamento en Renta Citlaltépetl #54, 9
, Colonia Condesa, Cuauhtémoc, Distrito Federal (cdmx)"|65,000 MX$|2|3|220m2
Departamento en Renta Ruben Dario 100, Miguel Hidalgo, Distrito Federal (cdmx)|60,000 MX$|3|2|200m2
"Departamento en Renta Av. Popocatépetl #000
, Xoco, Benito Juárez, Distrito Federal (cdmx)"|20,000 MX$|2|2|100m2
Departamento en Renta Av. El Bordo 85 Col Ex Hacienda Tlalpan, Tlalpan, Distrito Federal (cdmx)|18,000 MX$|2|2|88m2
"Departamento en Renta Nicolas San Juan #279
, Del Valle Centro, Benito Juárez, Distrito Federal (cdmx)"|19,500 MX$|2|2|112m2
"Departamento en Renta Jesus Del Monte #34
, Jesús Del Monte, Cuajimalpa De Morelos"|17,500 MX$|1|1|50m2
Departamento en Renta Guanajuato 44, Roma Norte, Cuauhtémoc, Distrito Federal (cdmx)|23,000 MX$|2|2|70m2
Departamento en Renta Mar Adriático 100, Popotla, Miguel Hidalgo, Distrito Federal (cdmx)|25,000 MX$|2|2|130m2
Departamento en Renta Av. Ejercito Nacional 769 Esquina Moliere, Granada, Miguel Hidalgo, Distrito Federal (cdmx)|30,000 MX$|2|2|105m2
"Departamento en Renta Aguascalientes #185, 5
, Colonia Condesa, Cuauhtémoc, Distrito Federal (cdmx)"|25,000 MX$|2|2|100m2
"Departamento en Renta Encarnación Ortiz #1860
, Azcapotzalco, Distrito Federal (cdmx)"|18,000 MX$|3|2|80m2
"Departamento en Renta R.salido #166
, Independencia, Benito Juárez, Distrito Federal (cdmx)"|13,950 MX$|2|2|75m2
"Departamento en Renta Cleveland #6
, Ciudad De Los Deportes, Benito Juárez, Distrito Federal (cdmx)"|2,800,000 MX$|2|2|84m2
"Departamento en Renta Amsterdam #1
, Colonia Condesa, Cuauhtémoc, Distrito Federal (cdmx)"|38,810 MX$|2|2|140m2
"Departamento en Renta Ph En Renta Amueblado De 2 Nivles Y Roof Garden En Bosques De Las Lomas
, Bosques De Las Lomas, Cuajimalpa De Morelos"|95,084.5 MX$|3|3|380m2
"Departamento en Renta Lago Neuchatel #12
, Ampliación Granada, Miguel Hidalgo, Distrito Federal (cdmx)"|29,000 MX$|2|3|126m2
"Departamento en Renta Lago Alberto #320
, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)"|36,000 MX$|3|2|150m2
"Departamento en Renta Guanajuato #66
, Roma Norte, Cuauhtémoc, Distrito Federal (cdmx)"|22,000 MX$|2|2|119m2
"Departamento en Renta Atenas #3
, Lomas De Padierna, Tlalpan, Distrito Federal (cdmx)"|2,600 MX$|1|1|22m2
"Departamento en Renta Prolongación Paseo De La Reforma #260
, Santa Fe Cuajimalpa, Cuajimalpa De Morelos"|24,000 MX$|3|2|100m2
"Departamento en Renta Bahía De Santa Barbara #0, 3
, Veronica Anzures, Miguel Hidalgo, Distrito Federal (cdmx)"|22,000 MX$|2|2|93m2
Departamento en Renta Avenida De Los Poetas 100, Colonia Cuajimalpa, Cuajimalpa De Morelos|49,000 MX$|3|4|318m2
Departamento en Renta General Mariano Escobedo 248, Miguel Hidalgo, Distrito Federal (cdmx)|25,500 MX$|2|2|94m2
"Departamento en Renta Prol. Paseo De La Reforma #1
, Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)"|22,000 MX$|2|2|65m2
"Departamento en Renta Adolfo Prieto #1033
, Del Valle, Benito Juárez, Distrito Federal (cdmx)"|34,000 MX$|2|3|116m2
